n;RN;AVL;B-1;B-5;B-10
762;2135;8988;7368;7108;6999
763;2136;9011;7350;7127;7005
764;2167;9066;7362;7128;7025
765;2144;9040;7366;7140;7031
766;2165;9059;7427;7153;7062
767;2162;9063;7396;7161;7062
768;2144;9091;7413;7165;7071
769;2157;9096;7467;7191;7072
770;2159;9106;7465;7182;7092
771;2146;9109;7436;7210;7112
772;2170;9152;7460;7226;7103
773;2184;9156;7480;7241;7124
774;2160;9164;7492;7227;7145
775;2168;9161;7491;7216;7140
776;2157;9164;7501;7250;7165
777;2194;9212;7550;7295;7144
778;2182;9218;7529;7290;7156
779;2184;9232;7552;7271;7187
780;2187;9235;7568;7278;7176
781;2199;9246;7589;7301;7197
782;2196;9270;7606;7326;7230
783;2198;9268;7573;7330;7219
784;2219;9268;7572;7337;7230
785;2192;9281;7628;7349;7240
786;2235;9325;7627;7358;7252
787;2196;9333;7621;7378;7279
788;2218;9353;7637;7354;7275
789;2234;9350;7662;7406;7280
790;2227;9392;7667;7400;7295
791;2223;9389;7682;7425;7322
792;2243;9410;7714;7406;7327
793;2241;9417;7711;7425;7316
794;2251;9425;7766;7448;7331
795;2235;9452;7732;7459;7361
796;2250;9457;7745;7487;7351
797;2249;9499;7758;7479;7367
798;2251;9460;7750;7496;7363
799;2261;9492;7740;7509;7365
800;2231;9515;7797;7514;7402
801;2259;9541;7811;7519;7390
802;2248;9530;7792;7512;7412
803;2250;9533;7808;7517;7443
804;2264;9559;7806;7554;7441
805;2260;9555;7871;7560;7441
806;2277;9568;7827;7565;7456
807;2280;9613;7864;7581;7474
808;2281;9597;7845;7581;7493
809;2257;9618;7903;7595;7486
810;2284;9637;7894;7595;7503
811;2259;9666;7914;7613;7502
812;2277;9666;7938;7634;7531
813;2282;9686;7909;7629;7538
814;2280;9706;7944;7662;7557
815;2291;9678;7947;7674;7560
816;2286;9743;7969;7678;7568
817;2284;9741;7976;7713;7588
818;2295;9753;8014;7700;7589
819;2304;9767;8010;7703;7612
820;2278;9772;8039;7726;7592
821;2271;9764;8014;7728;7625
822;2327;9796;8001;7733;7632
823;2324;9833;8049;7756;7637
824;2299;9827;8064;7757;7639
825;2317;9823;8083;7786;7651
826;2331;9857;8080;7766;7674
827;2336;9860;8108;7737;7664
828;2309;9875;8068;7826;7691
829;2323;9898;8107;7809;7722
830;2315;9905;8147;7824;7714
831;2348;9945;8190;7837;7713
832;2315;9927;8146;7847;7720
833;2350;9955;8151;7857;7738
834;2350;9976;8183;7875;7764
835;2367;9985;8178;7862;7772
836;2363;9971;8189;7880;7772
837;2361;10034;8213;7891;7781
838;2353;9997;8223;7896;7796
839;2341;9998;8215;7885;7819
840;2354;10020;8286;7934;7808
841;2364;10049;8210;7942;7820
842;2356;10101;8276;7977;7843
843;2371;10082;8297;7966;7849
844;2378;10068;8259;7951;7849
845;2373;10110;8300;7970;7881
846;2381;10101;8361;7977;7889
847;2370;10102;8326;7991;7876
848;2398;10142;8325;8015;7915
849;2390;10166;8346;8034;7902
850;2385;10166;8324;8037;7931
851;2377;10197;8361;8031;7933
852;2396;10214;8373;8058;7961
853;2386;10194;8382;8049;7940
854;2400;10211;8395;8056;7963
855;2410;10254;8465;8105;7981
856;2423;10285;8461;8087;8000
857;2407;10251;8396;8129;8005
858;2434;10294;8457;8127;7995
859;2414;10305;8472;8124;8014
860;2404;10306;8462;8131;8045
861;2398;10320;8467;8138;8019
862;2424;10327;8521;8182;8071
863;2416;10362;8509;8155;8065
864;2406;10373;8554;8143;8085
865;2458;10396;8568;8218;8082
866;2441;10415;8538;8204;8094
867;2419;10390;8564;8213;8125
868;2450;10402;8538;8248;8110
869;2441;10418;8632;8244;8138
870;2451;10456;8600;8263;8132
