n;RN;AVL;B-1;B-5;B-10
978;12250;20556;0;0;0
979;12209;20550;0;0;0
980;12216;20605;0;0;0
981;12235;20610;0;0;0
982;12254;20644;0;0;0
983;12280;20657;0;0;0
984;12270;20678;0;0;0
985;12363;20797;0;0;0
986;12352;20742;0;0;0
987;12340;20722;0;0;0
988;12382;20810;0;0;0
989;12304;20783;0;0;0
990;12367;20884;0;0;0
991;12400;20893;0;0;0
992;12416;20869;0;0;0
993;12406;20849;0;0;0
994;12426;20958;0;0;0
995;12428;20911;0;0;0
996;12450;20953;0;0;0
997;12482;21002;0;0;0
998;12536;21043;0;0;0
999;12550;21110;0;0;0
